coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Apr 04 21:04:59 +0000 2016,frise AAFTroyes16 datasprintAAF,,,0,717095645702651904,,,,fr,,,3,717095422918070276,daieuxdailleurs,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @daieuxdailleurs: un peu vexée par bug pdt atelier #frise #AAFTroyes16 alors cartographie #datasprintAAF cc @archivesBrest @Monoprix htt…,https://twitter.com/BaO_patrimoine/status/717095645702651904,Tue Jul 08 19:47:35 +0000 2014,BaO_patrimoine,false,Boîte à outils #patrimoine #culture #archives sauce #numérique. Photos : https://t.co/NVwJwTqabz et https://t.co/fALA9bp861 / sévit aussi sous @daieuxdailleurs,47,1315,655,128,,Patrimoine&Numérique,BaO_patrimoine,2312,Lisbon,http://www.patrimoine-et-numerique.fr,false
,Wed Apr 20 06:52:52 +0000 2016,Rennes inventaires archives datasprintAAF,,https://docs.google.com/presentation/d/1-6EuD57kavxta5Mmi_LP0Mv5khaNmpp4eq59ObldP-s/edit?usp=docslist_api https://twitter.com/enenvor/statuses/722646659495301120,5,722679406972571648,,,,fr,,false,3,,,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","Sur l'évolution de #Rennes, on a fait ça à partir des #inventaires #archives #datasprintAAF https://t.co/KKEzSfA2Hl https://t.co/0NCdb8wGa3",https://twitter.com/daieuxdailleurs/status/722679406972571648,Fri Nov 06 21:52:25 +0000 2009,daieuxdailleurs,false,#archives + #histoire + #généalogie + #geek + #féminisme + #pragmatisme .. un peu #poilàgratter ? Blogging on http://t.co/alQ5g9swfZ,2685,2129,657,248,A l'Ouest,d'aïeux & d'ailleurs,daieuxdailleurs,22723,Paris,http://www.maiwenn-bourdic.fr,false
,Tue Apr 05 21:04:58 +0000 2016,AAFtroyes16 datasprintaaf,,,0,717458030770659328,,,,fr,,,7,715894108204744704,peccadille,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @peccadille: #AAFtroyes16 Vous voulez faire comme les projets du #datasprintaaf ? La boite à outils de @daieuxdailleurs https://t.co/mcb…,https://twitter.com/DamienPetermann/status/717458030770659328,Sun Oct 26 10:26:45 +0000 2014,DamienPetermann,false,"Doctorant, #Géographie #Histoire #Tourisme,  #Valorisation du #Patrimoine, #Cartographie numérique, #Musée, #HGIS, Images urbaines, Resp. @imago_jr",5123,781,974,80,Lyon,Damien Petermann,DamienPetermann,12362,Paris,http://imagelyon.hypotheses.org/,false
,Mon Apr 04 13:32:59 +0000 2016,Drome datasprintAAF,,https://fr.batchgeo.com/map/1a21da778cf1061a8aa9627afc83f657 https://docs.google.com/presentation/d/1EGal_v_aePPYpzEmsWyM1cVt8jJqg0MLt2sGrk1_mHE/pub?start=false&loop=false&delayms=3000&slide=id.g7e210a315446ff8a_0#slide=id.g7e210a315446ff8a_0,0,716981895595167745,,,,fr,"Alixan, France",false,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Carte des grèves par secteur d'activité #Drome https://t.co/sgX61TqQaV présentation lors du #datasprintAAF https://t.co/8uMQUhViEj,https://twitter.com/xmasclaux/status/716981895595167745,Tue Dec 13 16:53:39 +0000 2011,xmasclaux,false,Transformation digitale @lemoulindigital @FrenchTechVR  #innovation #smartcities #frenchtech #foodtech,30,521,429,61,Drôme,Xavier Masclaux,xmasclaux,1242,Paris,https://fr.slideshare.net/xmasclaux,false
,Sun Jul 03 18:55:48 +0000 2016,Archives datasprintAAF,,http://dlvr.it/Ljcx4l,0,749678044856586240,,,,en,,false,5,749664155922100224,daieuxdailleurs,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @daieuxdailleurs: [veille] #Archives #datasprintAAF : presentation at the Swiss Open Cultural data hackathon… https://t.co/Yy1yLzFgsm ht…,https://twitter.com/Archivistes_AAF/status/749678044856586240,Tue Jun 05 08:07:00 +0000 2012,Archivistes_AAF,false,"Suivez l’actualité de l’Association des archivistes français, informez-vous et participez ainsi aux événements qu’elle organise.",3313,4772,682,232,Paris,AAF,Archivistes_AAF,10551,Paris,http://www.archivistes.org/,false
,Fri Sep 16 09:13:30 +0000 2016,archivCH datasprintAAF archives remix réutilisation,,http://frama.link/datasprint-aas,0,776710592442793984,,,,fr,,false,4,776708891191177218,daieuxdailleurs,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @daieuxdailleurs: #archivCH tout savoir sur le #datasprintAAF  : https://t.co/4M3zyvBhP7 #archives #remix #réutilisation,https://twitter.com/vsa_aas/status/776710592442793984,Tue May 19 18:28:41 +0000 2015,vsa_aas,false,Verein Schweizerischer Archivarinnen und Archivare - Association des archivistes suisses - Associazione degli archivisti svizzeri #archivCH,51,483,93,39,,VSA-AAS,vsa_aas,697,Pacific Time (US & Canada),http://www.vsa-aas.ch,false
,Sat Jul 02 10:26:51 +0000 2016,GLAMhack2016 datasprintAAF,,http://bit.ly/299Zo4b,8,749187574225334272,,,,fr,,false,5,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Excellente prez de @daieuxdailleurs pour le #GLAMhack2016 autour du #datasprintAAF
-&gt; Réutilisation des archives !
https://t.co/2ySyjxjOnV",https://twitter.com/seeksanusername/status/749187574225334272,Tue Mar 02 14:25:03 +0000 2010,seeksanusername,false,"...is about discovery, no justification #GLAMgeek",7314,2847,975,413,Paris,Courtin Antoine,seeksanusername,14053,Athens,http://goo.gl/KN61wV,false
,Sun Apr 03 17:21:44 +0000 2016,datasprintaaf AAFtroyes16,,,0,716677075818700803,,,,fr,,,3,715899636217733120,LeuLeudo,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LeuLeudo: Allez tous voir en détail les projets, c'est vraiment top!#datasprintaaf #AAFtroyes16 et la boîte à outils top également!",https://twitter.com/katellaug/status/716677075818700803,Wed Nov 09 19:39:18 +0000 2011,katellaug,false,Archiviste entre autres. Mes propos n'engagent que moi.,2402,917,422,51,Vigneux de Bretagne,Katell Auguié,katellaug,1877,,,false
,Sun Apr 03 11:28:06 +0000 2016,Orléans dataviz datasprintAAF,,https://datasprintaaf.cartodb.com/viz/a013a2e8-f68d-11e5-b040-0e3ff518bd15/public_map https://twitter.com/ArchivesOrleans/statuses/716584792146321408,2,716588078991872000,,,,fr,,false,1,,,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","Puis #Orléans, tel le phénix... https://t.co/GZX77zh9cC #dataviz #datasprintAAF https://t.co/ToE6cgXVrK",https://twitter.com/daieuxdailleurs/status/716588078991872000,Fri Nov 06 21:52:25 +0000 2009,daieuxdailleurs,false,#archives + #histoire + #généalogie + #geek + #féminisme + #pragmatisme .. un peu #poilàgratter ? Blogging on http://t.co/alQ5g9swfZ,2685,2129,657,248,A l'Ouest,d'aïeux & d'ailleurs,daieuxdailleurs,22723,Paris,http://www.maiwenn-bourdic.fr,false
,Tue Apr 05 20:59:49 +0000 2016,webapp datasprintAAF AAFtroyes16,,http://goo.gl/yZ6gMt,0,717456731236917249,,,,fr,,false,8,715901055079477248,seeksanusername,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @seeksanusername: Petite #webapp sur les cartes postales des Cotes d'Armor 
#datasprintAAF #AAFtroyes16 
https://t.co/4ELTuk6P64 https:/…",https://twitter.com/DamienPetermann/status/717456731236917249,Sun Oct 26 10:26:45 +0000 2014,DamienPetermann,false,"Doctorant, #Géographie #Histoire #Tourisme,  #Valorisation du #Patrimoine, #Cartographie numérique, #Musée, #HGIS, Images urbaines, Resp. @imago_jr",5123,781,974,80,Lyon,Damien Petermann,DamienPetermann,12362,Paris,http://imagelyon.hypotheses.org/,false
